Account,Fund,Dept,PROGRAMClass,Class,ProjectNumber,Subgrant,ProjectName,Grantee,Vendor ID,DESCRIPTION,ProjectSummary,MasterProject,Theme,GrantStatus,BusinessItem,Grant Amount,Appropriation commited amount,Match amount,Address,City,County,CountilDistrict,Legislative District,DateAwarded,POSC,ExpirationDate,AmendedExpDate,ContractLegal,ContractSent,ContractReceived,ContractExecuted,ExecConstractSent,FederalFY,StateFY,ClaimDueDate,YearAvailReissue,YearFunded,PONumber,FO_ID,FundingOpportunity,ProgramArea
5821,242,09999,0,000,14075,SG2002-094,"Housing Opportunities along the Northstar Commuter Rail Line - Coon Rapids, designated city to administer funds",Anoka County,0000003633A5,"The cities of Anoka, Coon Rapids, and Fridley will examine the impact development along the Northstar Corridor will have upon neighboring station stops.  This study will assist the cities in making planning decisions that will have great impact upon transit-oriented development in their communities.  Anoka County is making this grant application on behalf of the three cities.",Development impact plan,,N/A,Closed,," $	70,000.00 "," $	67,550.42 ",,"Along proposed Northstar Corridor (Anoka, Coon Rap - Coon Rapids",Coon Rapids,Anoka,9,36B,7/24/02,,12/31/04,,,,,1/15/02,,,,,,2002,,01003,LCDA Pre-Development Historical Data,LCDA Pre-Development 
5821,243,09999,000,000,14280,SG2004-113,East Creek Acres-II,Carver County HRA,0000003026A1,"The Carver County HRA and City of Chaska continue their efforts to bring affordable homeownership to this fast-growing city where employment growth is strong and housing prices are soaring.  East Creek Acres, which will consist of 19 twinhomes, is very close to community amenities, schools, shopping, parks and transit.  At a density of approximately 3.8 units per acre, these workforce housing units will be sold for $189,900.  The Carver County HRA has committed $395,000 to this project, and a tax increment financing contribution from the city of $225,000 will also benefit the development.  The Community Bank of Chaska has agreed to offer prospective buyers a free appraisal and a 25 percent reduction in closing costs.",Construction of 19 affordable twinhome housing units,East Creek Acres,N/A,Closed,," $	100,000.00 "," $	32,682.00 ",,Ravoux Circle - Chaska,Chaska,Carver,4,47B,11/10/04,,12/31/06,12/31/07,,,,12/27/04,,,,,,2004,04011232,01009,LHIA Historical Data,LHIA 
5821,241,09999,000,000,14467,SG2007-133,IMI Cornelius (fka Eniva),City of Anoka,0000020920A2,"The applicant is requesting $394,973 in TBRA funds for asbestos and lead-based paint abatement for the renovation and partial demolition of a vacant industrial facility formerly used for manufacturing beverage dispensers on a 26-acre site. Upon review, $339,073 of the costs were determined to be eligible. The expected benefits include the development of 230,000 sq. ft. of office space with a projected increase of $112,028 in net tax capacity and $13M of private investment.

Funds are to be used for asbestos and lead-based paint abatement. (Note, costs for removing ""universal wastes"" are not eligible for grant funding.)",Industrial,,N/A,Closed,2007-344," $	339,000.00 "," $	237,837.67 ",,"1 Cornelius Place, Anoka",Anoka,Anoka,9,35A,1/9/08,,12/31/09,,,,3/15/08,3/20/08,3/20/08,,,,,2007,08002476,01006,TBRA Cleanup Historical Data,TBRA Cleanup 
5821,242,09999,000,000,14951,SG2010-138,Greenhaven Housing,City of Anoka,0000020920A2,"This project will solicit proposals to develop a land use plan, a financial feasibility plan and a market analysis to determine the potential uses for five areas adjacent to the publically-owned Greenhaven Golf Course in Anoka. One of the City's goals is to ensure that it is providing lifecycle housing options for its residents, and one gap that has been identified is in move-up housing. Study results will help guide determine if the City's plans are realistic and feasible and to determine the next steps in the redevelopment process.",Redevelopment plan,,N/A,Closed,2010-402," $	75,000.00 "," $	75,000.00 ",,5 areas around Greenhaven Golf Course in Anoka,Anoka,Anoka,9,35A,12/8/10,,12/31/12,,1/26/11,1/18/11,3/30/11,4/4/11,4/4/11,,,,,2010,11002805,01003,LCDA Pre-Development Historical Data,LCDA Pre-Development 
5821,242,09999,000,000,16052,SG2011-192,Anoka Station Area Master Planning,City of Anoka,0000020920A2,"In 2002, professional master plans were completed as part of the original planning for the Anoka Station area; however, the master plan was drastically changed as a result of recently-completed market studies. This grant will fund an updated master plan to market the Anoka Station Area.",Update master plan,,N/A,Closed,2012-126," $	22,500.00 "," $	22,500.00 ",,Garfield St to Hwy 10 to 7th Ave to the Rum River,Anoka,Anoka,9,35A,4/25/12,,4/30/14,,6/18/12,6/18/12,6/21/12,7/2/12,7/9/12,,,,,2011,12004916,01005,TOD Pre-Development Historical Data,TOD Pre-Development 
5821,241,09999,000,000,14174,SG2001-064,North Central Business District,City of Anoka,0000020920A2,"Clean a city-owned site in the heart of the historic downtown, east of city hall. The site is currently used for city parking and will be redeveloped into office and commercial space. Contamination on the site stems from a dry cleaner that occupied the site from 1962 to 1986.",,,N/A,Closed,," $	116,870.00 "," $	116,870.00 ",,NW corner Jackson St & 2nd Av. - Anoka,Anoka,Anoka,9,35A,6/27/01,,12/31/03,,,,,7/18/01,,,,,,2001,,01006,TBRA Cleanup Historical Data,TBRA Cleanup 
5821,242,09999,000,000,14056,SG2001-095,Heart of Anoka,City of Anoka,0000020920A2,"Develop a master plan for infill redevelopment in the North Central Business District; develop a transit-oriented development in the Community Rail Transit Village area; and develop a Request for Proposals to implement the plans.  Goals for the completed plan include: models for neighborhood infill and transit oriented developments;  preferred options for development of neighborhoods that are convenient, walkable, and provide easy access to open space, recreation and transit; and methods of implementation that provide incentives for development and promote efficient use of the land and public infrastructure.","Master plan, TOD plan,",,N/A,Closed,," $	70,000.00 "," $	70,000.00 ",,"Between Rum River, No. Main, Hwy 10 and 4th Ave. - Anoka",Anoka,Anoka,9,35A,11/1/01,,12/31/04,,,,,1/15/02,,,,,,2001,,01003,LCDA Pre-Development Historical Data,LCDA Pre-Development 
5821,243,09999,000,000,14216,SG1999-011,Chasewood Family Townhomes,City of Apple Valley,0000020921A1,Assist with construction of a 27-unit rental family townhome development of two- and three-bedroom units to serve large families. All of the units will be affordable to residents with incomes at or below 33% of median income.,"Construction of 27 rental townhome housing units, all affordable",,N/A,Closed,," $	180,000.00 "," $	180,000.00 ",,Garrett Ave and 155th St. - Apple Valley,Apple Valley,Dakota,16,57A,12/3/98,,,,,,,5/18/99,,,,,,1998,,01009,LHIA Historical Data,LHIA 
5821,244,09999,000,000,14310,SG2000-113,Hidden Ponds,City of Apple Valley,0000020921A1,"Provide gap financing to enable the development of the 84-unit Hidden Ponds inclusionary housing apartment development within walking distance of two city parks, one mile from an elementary school and convenient to a Metro Transit park-and-ride facility. Downtown Apple Valley retail and services are just two miles south on Cedar Avenue from the proposed apartments. Hidden Ponds includes seven separate buildings with a mix of affordable and market rate units.",Multifamily housing,,N/A,Closed,," $	500,000.00 "," $	500,000.00 ",,East of Cedar Ave at 127th Street - Apple Valley,Apple Valley,Dakota,16,57B,12/20/00,,12/31/02,,,,,5/16/01,,,,,,2000,,02810,IHA Historical Data,Inclusionary Housing Account
5821,242,09999,000,000,14066,SG2001-096,Central Village Small Area Plan -  I  (fka Galaxie Avenue),City of Apple Valley,0000020921A1,"Phase I of the plan (funded with the 2001 grant) resulted in a plan to allow mixed uses in a previously commercial-only area, more structured parking, public open space and enhanced stormwater management.  An additional 1,000 households are expected to reside in the area.",Mixed-use plan,Central Village,N/A,Closed,," $	16,000.00 "," $	16,000.00 ",,Vicinity of Galaxie Ave at 153rd St. West - Apple Valley,Apple Valley,Dakota,16,57A,11/1/01,,12/31/02,,,,,2/4/02,,,,,,2001,,01003,LCDA Pre-Development Historical Data,LCDA Pre-Development 
