Account,Fund,Dept,PROGRAM,Class,ProjectNumber,Subgrant,ProjectName,Grantee,Vendor ID,DESCRIPTION,ProjectSummary,Master Project,Theme,GrantStatus,BusinessItem,Grant Amount,Appropriation committed amount,Match amount,Address,City,County,CountilDistrict,Legislative District,DateAwarded,POSC,ExpirationDate,AmendedExpDate,ContractLegal,ContractSent,ContractReceived,ContractExecuted,ExecConstractSent,FederalFY,StateFY,ClaimDueDate,YearAvailReissue,YearFunded,PONumber,FO_ID,FundingOpportunity,ProgramArea
5821,242,09999,000,000,14834,SG2006-042,Anoka North Central Business District,City of Anoka,0000020920A2,"This project includes a 13-acre infill redevelopment site that the City of Anoka has largely assembled over the past 13 years.  The project goals for Phase I of NCBD development include several public infrastructure elements that will be necessary to move the development forward.  Through the development of a public parking ramp in Phase I, the City of Anoka will address these problems in the following ways: consolidating three existing surface lots with a centrally located, easy to use parking structure; improving access for existing businesses and future retail and commercial development; promoting pedestrian circulation and encouraging walking, biking, and transit use; redeveloping underutilized and inappropriate urban core uses; and removing undesirable riverfront uses. Funds will be used for construction of a 260-stall public parking structure.","Consolidate 3 surface parking lots into one structure, improve business and pedestrian access",,N/A,Closed,," $	1,000,000.00 "," $	1,000,000.00 ",,"Between Jackson, Van Buren, 2nd Ave and Rum River - Anoka",Anoka,Anoka,9,35A,1/25/06,,12/31/07,,,,,3/9/06,,,,,,2005,,01002,LCDA Development Historical Data,LCDA Development 
5821,242,09999,000,000,14825,SG2004-127,Harmony Commons (fka The Village at Founders Circle),City of Apple Valley,0000020921A1,"The Central Village project, which includes the Harmony Commons Landmark Corner, represents the next step in the evolution of downtown Apple Valley through the creation of a compact mixed-use development that will provide multi-story, multi-use buildings with minimal setbacks and street orientation.  Central Village will complement, as well as supplement, the existing downtown Apple Valley by providing another commercial and residential component to an already vibrant and successful area by incorporating the following components:  Construction of a variety of multi-housing products; creating a walkable neighborhood environment; use of urban design techniques; use of innovative storm water practices; network green spaces and recreational resources; and develop cost-effective parking strategies.  Funds will be used for construction of a below-grade parking structure.",,,N/A,Closed,," $	2,356,244.00 ", $	-   ,,Southeast quadrant of Galaxie Avenue at 153rd St. W- Apple Valley,Apple Valley,Dakota,16,57A,2/9/05,,6/30/07,6/30/09,,,,,,,,,,2004,,01002,LCDA Development Historical Data,LCDA Development 
5821,242,09999,000,000,14838,SG2006-046,Central Village - Legacy Park North,City of Apple Valley,0000020921A1,"The Central Village project, which includes Legacy Park North, represents the next step in the evolution of downtown Apple Valley through the creation of a compact mixed-use development that will provide multi-story, multi-use buildings with minimal setbacks and street orientation.  Central Village will complement, as well as supplement, the existing downtown Apple Valley by providing another commercial and residential component to an already vibrant and successful area by incorporating the following components:  construction of a variety of multi-housing products; creating a walkable neighborhood environment; use of urban design techniques; use of innovative storm water practices; network green spaces and recreational resources; and develop cost-effective parking strategies.  Grant funds will be used for a recreation water feature (splash pad), waterfalls/entry feature and playground equipment.","Construction of Legacy Park North in support of the Central Village project, with indeterminate housing and mixed-use space",Central Village,N/A,Closed,," $	425,000.00 "," $	425,000.00 ",,153rd Street west and Fresco Terrace - Apple Valley,Apple Valley,Dakota,16,57A,1/25/06,,12/31/07,,,,,5/11/06,,,,,,2005,06003989,01002,LCDA Development Historical Data,LCDA Development 
5821,242,09999,000,000,14863,SG2008-114,Cobblestone Senior Housing,City of Apple Valley,0000020921A1,"The proposed Apple Valley Senior Apartment development will include 60 units comprised of approximately 30 one-bedroom units and 30 two-bedroom units on property located within the Cobblestone Lake master planned development.  The developer, the Dakota County Community Development Agency, has developed 21 affordable senior housing developments totaling 1,190 units, through one of the largest locally-financed senior housing development programs in the country. The primary financing source for development of this type of senior housing is the issuance by the CDA of tax-exempt bonds credit enhanced with a general obligation pledge from Dakota County. Developments are occupied by low- and moderate-income seniors. Residents pay 30 percent of their income toward rent for one-bedroom units and 32 percent of income for two-bedroom units, but not less than the established minimum rents of $348 for a one-bedroom unit and $513 for a two-bedroom unit. Average income of housing residents is $19,000, which translates to approximately 30 percent of the area median income. The 323-acre master planned Cobblestone development is planned to have up to 3,000 unattached/attached dwelling units and 300,000 square feet of commercial space.","Development of 60 senior rental housing units, all affordable",,N/A,Closed,2008-270," $	556,834.00 "," $	556,834.00 ",,"W side of Cobblestone Lake Parkway, south of 157th St W",Apple Valley,Dakota,16,57A,12/10/08,,12/31/10,,12/15/08,1/9/09,1/27/09,2/10/09,2/11/09,,,,,2008,09001164,01002,LCDA Development Historical Data,LCDA Development 
5821,242,09999,000,000,14833,SG2006-041,Bloomington Central Station TOD,City of Bloomington,0000026809A5,"The proposed development includes a 500+ room hotel, 1,100 units of new ownership housing (goal of 10-20% affordable units), 550,000 square feet of renovated office space (new headquarters of the HealthPartners workforce) and over 1,500,000 square feet of proposed new office/ retail space all on a 45+ acre site. The site is within 2 minutes of the Mall of America and the Minneapolis St. Paul Airport. The project design preserves open space on the site and includes numerous pedestrian linkages, plazas, underground parking, innovative stormwater treatment areas and extensive landscaping elements. The project, when completed, will include 7,000 employees working and up to 2,000 residents living at the site. One Hiawatha LRT line station is located at the center of the site while another station (28th St. Station) will be incorporated into the overall plan and a 3rd proposed station (American Boulevard Station) is on the edge of the project site.  Grant funds will be used for the construction of Central Station Park: security lighting system, water features, landscaping, concrete pavers, and retaining walls.",Hotel & 1.5M SF office,Central Station,N/A,Closed,," $	2,200,000.00 "," $	2,200,000.00 ",,8100 34th Avenue South - Bloomington,Bloomington,Hennepin,5,50B,1/25/06,,12/31/07,,,,,4/7/06,,,,,,2005,06003078-2,01002,LCDA Development Historical Data,LCDA Development 
5821,242,09999,000,000,14826,SG2004-128,Central Station,City of Bloomington,0000026809A5,"The proposed development includes a 500+ room hotel, 1,100 units of new ownership housing (goal of 10-20% affordable units), 550,000 square feet of renovated office space (new headquarters of the HealthPartners workforce) and over 1,500,000 square feet of proposed new office/ retail space all on a 45+ acre site. The site is within 2 minutes of the Mall of America and the Minneapolis St. Paul Airport. The project design preserves open space on the site and includes numerous pedestrian linkages, plazas, underground parking, innovative stormwater treatment areas and extensive landscaping elements. The project, when completed, will include 7,000 employees working and up to 2,000 residents living at the site. One Hiawatha LRT line station is located at the center of the site while another station (28th St. Station) will be incorporated into the overall plan and a 3rd proposed station (American Boulevard Station) is on the edge of the project site.  Funds will be used for the construction of infrastructure elements located near LRT station: pedestrian plaza, landscaping, mini-park, pedestrian lighting.",Hotel & 1.5M SF office,Central Station,N/A,Closed,," $	500,000.00 "," $	500,000.00 ",,"Between 80th St E & Old ShakopeeRd, 28th & 34th Av S- Bloomington",Bloomington,Hennepin,5,50B,2/9/05,,6/30/07,,,,,5/25/05,,,,,,2004,,01002,LCDA Development Historical Data,LCDA Development 
5821,242,09999,000,000,14057A,SG2000-130a,Shingle Creek Corridor Improvements - I (fka The Village),City of Brooklyn Park,0000020926A1,"The city will remove the adjacent, obsolete Village North Shopping Center and surrounding buildings to prepare for redevelopment of the area as The Village.  Vacant parcels will provide focus for new retail development.  Office development will be concentrated at the key intersection of Zane Avenue and Brooklyn Boulevard.  Civic uses will be introduced along Zane Avenue and Brooklyn Boulevard.  Medium-density owner-occupied housing and high-density senior housing will be added.  The 2000 grant funding award is for urban and wetland ponding to develop Shingle Creek Park, restoring Shingle Creek to create a central park amenity, spur other development and ensure long-term livability and stability of surrounding neighborhoods.  The now-hidden creek will be connected visually and physically to adjacent areas and will offer a variety of recreational opportunities.  Improvements to the creek will assist in managing water quality in the area.  The 2001 grant funding is awarded for improvements to Zane Avenue.",Multifamily housing,Shingle Creek Corridor Improvements,N/A,Closed,," $	1,000,000.00 "," $	1,000,000.00 ",,"Between Brooklyn Blvd, Zane  Ave & 73rd Ave N. - Brooklyn Park",Brooklyn Park,Hennepin,2,40A,12/1/00,,12/31/03,,,,,3/9/01,,,,,,2000,,01002,LCDA Development Historical Data,LCDA Development 
5821,242,09999,000,000,14057B,SG2000-130b,Shingle Creek Corridor Improvements - II fka The Village),City of Brooklyn Park,0000020926A1,"The city will remove the adjacent, obsolete Village North Shopping Center and surrounding buildings to prepare for redevelopment of the area as The Village.  Vacant parcels will provide focus for new retail development.  Office development will be concentrated at the key intersection of Zane Avenue and Brooklyn Boulevard.  Civic uses will be introduced along Zane Avenue and Brooklyn Boulevard.  Medium-density owner-occupied housing and high-density senior housing will be added.  The 2000 grant funding award is for urban and wetland ponding to develop Shingle Creek Park, restoring Shingle Creek to create a central park amenity, spur other development and ensure long-term livability and stability of surrounding neighborhoods.  The now-hidden creek will be connected visually and physically to adjacent areas and will offer a variety of recreational opportunities.  Imrpovements to the creek will assist in managing water quality in the area.  The 2001 grant funding is awarded for improvements to Zane Avenue.",Multifamily housing,Shingle Creek Corridor Improvements,N/A,Closed,," $	500,000.00 "," $	500,000.00 ",,"Between Brooklyn Blvd, Zane  Ave and 73rd Ave N. - Brooklyn Park",Brooklyn Park,Hennepin,2,40A,12/1/01,,12/31/04,12/31/04,,,,1/31/02,,,,,,2001,,01002,LCDA Development Historical Data,LCDA Development 
5821,242,09999,000,000,14816,SG2003-160,Village Creek - I,City of Brooklyn Park,0000020926A1,"Village Creek is a 134-acre redevelopment area with the following key components to assure a long-term community solution:   Funds will be used to acquire the Village North Bowl site to provide needed acreage for the new storm water and side channel ponds for the Village Creek Redevelopment Area and for needed ROW for Zane Avenue improvements.  Other elements of the project: Create a significant Creek and centralized park amenity to introduce additional recreational and housing focal points and amenities. Introduce and foster the development of a variety of owner-occupied town home and condo housing units. Reconstruct Zane Avenue and the Zane Avenue/Brooklyn Boulevard intersection to improve the Level of Service (LOS), which is currently D, and install a planted median along Zane Avenue to impart a parkway feel for the new and existing residential areas. Remove the existing vacant & marginal retail (487,000 square feet) & office buildings (100,000 square feet), reconfigure and concentrate them into a ""critical mass"" along a new Market Spine perpendicular to Brooklyn Boulevard to ensure the synergy required to keep the area commercially viable and vital.  Use land more efficiently, create a sense of place, achieve a compact, mixed use development, and enhance the existing successful transit services.",Multifamily housing,Village Creek,N/A,Closed,," $	346,150.00 "," $	346,150.00 ",,74th Ave N and Zane - Brooklyn Park,Brooklyn Park,Hennepin,2,40A,12/17/03,,6/30/05,,,,,3/4/04,,,,,,2003,,01002,LCDA Development Historical Data,LCDA Development 
5821,242,09999,000,000,14829,SG2004-131,Village Creek II,City of Brooklyn Park,0000020926A1,"Village Creek is a 134-acre redevelopment area with the following key components to assure a long-term community solution: develop a Market Spine & entrance into the new 20-acre mixed-use development & provide a high quality streetscape; construct a Parkway along the creek to define the public park area & provide public access; create a significant creek and centralized park amenity to introduce additional recreational and housing focal points and amenities; reconstruct Zane Avenue and the Zane Avenue/Brooklyn Boulevard intersection to improve the Level of Service (LOS); remove the existing vacant & marginal retail (487,000 sq/ft) & office buildings (100,000 sq/ft), reconfigure and concentrate them into a ?critical mass? along the new Market Spine; enhance the existing successful transit services; introduce & foster the development of a variety of owner-occupied town home and condo housing units; provide for all parking needs by distributing a range of parking options (on-street, structured, etc).; and increase overall site access through reconfiguration of streets and block patterns.  Funds will be used for construction of 650? Market Spine (street).",multifamily housing,Village Creek,N/A,Closed,," $	1,180,000.00 "," $	1,180,000.00 ",,Southeast quadrant of Brooklyn Blvd. & Zane Ave N - Brooklyn Park,Brooklyn Park,Hennepin,2,40A,2/9/05,,6/30/07,,,,,4/4/05,,,,,,2004,,01002,LCDA Development Historical Data,LCDA Development 
