Account,Fund,Dept,PROGRAM,Class,ProjectNumber,Subgrant,ProjectName,Grantee,Vendor ID,DESCRIPTION,ProjectSummary,MasterProject,Theme,GrantStatus,BusinessItem,Grant Amount,Appropriation committed amount,Match amount,Address,City,County,CountilDistrict,Legislative District,DateAwarded,POSC,ExpirationDate,AmendedExpDate,ContractLegal,ContractSent,ContractReceived,ContractExecuted,ExecConstractSent,FederalFY,StateFY,ClaimDueDate,YearAvailReissue,YearFunded,PONumber,FO_ID,FundingOpportunity,ProgramArea
5821,242,09999,000,000,14075,SG2002-094,"Housing Opportunities along the Northstar Commuter Rail Line - Coon Rapids, designated city to administer funds",Anoka County,0000003633A5,"The cities of Anoka, Coon Rapids, and Fridley will examine the impact development along the Northstar Corridor will have upon neighboring station stops.  This study will assist the cities in making planning decisions that will have great impact upon transit-oriented development in their communities.  Anoka County is making this grant application on behalf of the three cities.",Development impact plan,,N/A,Closed,," $	70,000.00 "," $	67,550.42 ",,"Along proposed Northstar Corridor (Anoka, Coon Rap - Coon Rapids",Coon Rapids,Anoka,9,36B,7/24/02,,12/31/04,,,,,1/15/02,,,,,,2002,,01003,LCDA Pre-Development Historical Data,LCDA Pre-Development 
5821,242,09999,000,000,14951,SG2010-138,Greenhaven Housing,City of Anoka,0000020920A2,"This project will solicit proposals to develop a land use plan, a financial feasibility plan and a market analysis to determine the potential uses for five areas adjacent to the publically-owned Greenhaven Golf Course in Anoka. One of the City's goals is to ensure that it is providing lifecycle housing options for its residents, and one gap that has been identified is in move-up housing. Study results will help guide determine if the City's plans are realistic and feasible and to determine the next steps in the redevelopment process.",Redevelopment plan,,N/A,Closed,2010-402," $	75,000.00 "," $	75,000.00 ",,5 areas around Greenhaven Golf Course in Anoka,Anoka,Anoka,9,35A,12/8/10,,12/31/12,,1/26/11,1/18/11,3/30/11,4/4/11,4/4/11,,,,,2010,11002805,01003,LCDA Pre-Development Historical Data,LCDA Pre-Development 
5821,242,09999,000,000,14056,SG2001-095,Heart of Anoka,City of Anoka,0000020920A2,"Develop a master plan for infill redevelopment in the North Central Business District; develop a transit-oriented development in the Community Rail Transit Village area; and develop a Request for Proposals to implement the plans.  Goals for the completed plan include: models for neighborhood infill and transit oriented developments;  preferred options for development of neighborhoods that are convenient, walkable, and provide easy access to open space, recreation and transit; and methods of implementation that provide incentives for development and promote efficient use of the land and public infrastructure.","Master plan, TOD plan,",,N/A,Closed,," $	70,000.00 "," $	70,000.00 ",,"Between Rum River, No. Main, Hwy 10 and 4th Ave. - Anoka",Anoka,Anoka,9,35A,11/1/01,,12/31/04,,,,,1/15/02,,,,,,2001,,01003,LCDA Pre-Development Historical Data,LCDA Pre-Development 
5821,242,09999,000,000,14066,SG2001-096,Central Village Small Area Plan -  I  (fka Galaxie Avenue),City of Apple Valley,0000020921A1,"Phase I of the plan (funded with the 2001 grant) resulted in a plan to allow mixed uses in a previously commercial-only area, more structured parking, public open space and enhanced stormwater management.  An additional 1,000 households are expected to reside in the area.",Mixed-use plan,Central Village,N/A,Closed,," $	16,000.00 "," $	16,000.00 ",,Vicinity of Galaxie Ave at 153rd St. West - Apple Valley,Apple Valley,Dakota,16,57A,11/1/01,,12/31/02,,,,,2/4/02,,,,,,2001,,01003,LCDA Pre-Development Historical Data,LCDA Pre-Development 
5821,242,09999,000,000,14082,SG2002-101,Central Village Small Area Plan -  II  (fka Galaxie Avenue),City of Apple Valley,0000020921A1,"Phase II (with funding from the 2002 grant) moves to plan implementation with a market study, architectural plans, stormwater and traffic plans.","Market study, architectural plans, stormwater and traffic plans",Central Village,N/A,Closed,," $	30,000.00 "," $	30,000.00 ",,Galaxie Ave. at 153rd Street west - Apple Valley,Apple Valley,Dakota,16,57A,7/24/02,,12/31/04,,,,,10/18/02,,,,,,2002,,01003,LCDA Pre-Development Historical Data,LCDA Pre-Development 
5821,242,09999,000,000,14940,SG2010-127,Master TOD Development Plan,City of Apple Valley,0000020921A1,"When the construction of Cedar Avenue is completed and bus rapid transit service begins in 2012, the City of Apple Valley expects that there will be increased market demand for housing and supporting commercial development in the areas adjacent to the high-frequency transit corridor. The City has requested $60,000 to hire a consultant to create a station area guide plan, conduct a market study and create land use controls and design standards for properties within the one-half mile area surrounding the on-line Cedar Avenue transit stations, which include the recently opened Apple Valley Transit Station along with the planned station stops at 140th Street and 147th Street. The primary objective of the project will be to provide the City with a set of tools that will guide development areas to take advantage of the enhanced transit service on the Cedar Avenue corridor through transit-oriented design.",TOD development plan,,N/A,Closed,2010-402," $	60,000.00 "," $	60,000.00 ",,Cedar Ave between McAndrews and 150th St W in Apple Valley,Apple Valley,Dakota,16,57A,12/8/10,,12/31/12,,1/26/11,1/14/11,2/17/11,2/24/11,3/2/11,,,,,2010,11001748,01003,LCDA Pre-Development Historical Data,LCDA Pre-Development 
5821,242,09999,000,000,14952,SG2010-139,Market Analysis for the Hanson Concrete Site,City of Apple Valley,0000020921A1,"The Hanson Concrete Plant, which closed in March 2010, is located on 80 acres northwest of the intersection of Johnny Cake Ridge Road and County Road 42. Hanson Concrete has contracted to sell the remaining inventory on the site, which is expected to be cleared from the property within one year and will leave the site vacant. It is unlikely that another concrete manufacturer will take over the plant because the equipment is outdated and independent consultants have informed the city that it would not be economically feasible to update it. The plant closure resulted in a loss of 100 jobs but leaves 80 acres of industrially zoned property available. The City completed an office/industrial market potential study in 2006 to estimate the future demand for office and industrial space in Apple Valley, which estimated that 235 acres of office/business park land could be absorbed by 2025. Based on that study, the City's 2030 Comprehensive Plan anticipated the conversion of approximately 230 acres of land currently being used for sand and gravel mining into a Mixed Business Campus over the next 20 years. The City's 2030 Comprehensive Plan did not anticipate the plant closure because Hanson had informed the City that Hanson expected to remain on the site for the foreseeable future. The City will complete a market analysis of the site and use the information to identify key elements of a land use plan. The 2030 Comprehensive Plan designated the site for industrial uses, and the City continues to support industrial users on the property, preferably a larger user or multiple users.",Redevelopment plan,,N/A,Closed,2010-402," $	50,000.00 "," $	50,000.00 ",,NW of the intersectin of Johnny Cake Ridge Road and Cty Rd 42 in Apple Valley,Apple Valley,Dakota,16,57A,12/8/10,,12/31/12,12/31/12,1/26/11,1/14/11,2/17/11,2/24/11,3/2/11,,,,,2010,11002925,01003,LCDA Pre-Development Historical Data,LCDA Pre-Development 
5821,242,09999,000,000,14083,SG2002-102,Twin Cities Army Ammunition Plant (TCAAP) Reuse,City of Arden Hills,0000020922A2,"The Twin Cities Army Ammunition Plant (TCAAP) site is 2300 acres and encompasses approximately one-third of the City's land area.  It is currently one of the largest tracts of undeveloped land in the metropolitan area.  With the recent indication that the Army may make portions of the property available for reuse, the City is initiating detailed land use and infrastructure planning to ensure that the property is reused consistent with community, sub-regional, and regional expectations.",redevelopment plan,,N/A,Closed,," $	75,000.00 "," $	75,000.00 ",,Twin Cities Army Ammunition Plant site - Arden Hills,Arden Hills,Ramsey,10,42A,7/24/02,,12/31/07,,,,,11/1/02,,,,,,2002,,01003,LCDA Pre-Development Historical Data,LCDA Pre-Development 
5821,242,09999,000,000,14038,SG1999-174,"I-35W Corridor Coalition Build Out Study - Blaine, designated city to administer funds",City of Blaine,0000020925A2,"Conduct a $350,000 build-out study and a $350,000 transit study for the I-35W corridor, through the Coalition's coordinating group, with consultant assistance; enhance and expand data sets; add new GIS data sets; research and develop subregional planning models; develop a preferred development option and recommended transit corridor options; and research and craft implementation strategies. Council staff will participate in the study to ensure compatibility with regional plans and goals.",Build-out study & transit study,I-35W Corridor Coalition,N/A,Closed,," $	700,000.00 "," $	700,000.00 ",,7 cities bordering I-35 W north - Blaine,Blaine,Anoka,10,38A,12/1/99,,12/3/02,,,,,2/4/00,,,,,,1999,,01003,LCDA Pre-Development Historical Data,LCDA Pre-Development 
5821,242,09999,000,000,14058,SG2001-097,Town Square,City of Blaine,0000020925A2,"The City is applying for architectural, land planning, and market feasibility technical assistance to develop Town Square.  Town Square is a 23-acre site located in the geographic center of the community and adjacent to the new 97,000 square foot City Hall.  The studies will determine the appropriate land use mix, architectural style, project intensity and residential density appropriate for Town Square.  The development will be on an urban scale that will provide places to live, shop, work and recreate via vehicle and pedestrian modes.","The studies will determine the appropriate land use mix, architectural style, project intensity and residential density appropriate for Town Square.",,N/A,Closed,," $	20,000.00 ", $	-   ,,SE corner of 109th Ave and Radisson Road - Blaine,Blaine,Anoka,10,37B,11/1/01,,12/31/02,,,,,,,,,,,2001,,01003,LCDA Pre-Development Historical Data,LCDA Pre-Development 
