Account,Fund,Dept,PROGRAMClass,Class,ProjectNumber,Subgrant,ProjectName,Grantee,Vendor ID,DESCRIPTION,ProjectSummary,MasterProject,Theme,GrantStatus,BusinessItem,Grant Amount,Appropriation commited amount,Match amount,Address,City,County,CountilDistrict,Legislative District,DateAwarded,POSC,ExpirationDate,AmendedExpDate,ContractLegal,ContractSent,ContractReceived,ContractExecuted,ExecConstractSent,FederalFY,StateFY,ClaimDueDate,YearAvailReissue,YearFunded,PONumber,FO_ID,FundingOpportunity,ProgramArea
5821,243,09999,000,000,14280,SG2004-113,East Creek Acres-II,Carver County HRA,0000003026A1,"The Carver County HRA and City of Chaska continue their efforts to bring affordable homeownership to this fast-growing city where employment growth is strong and housing prices are soaring.  East Creek Acres, which will consist of 19 twinhomes, is very close to community amenities, schools, shopping, parks and transit.  At a density of approximately 3.8 units per acre, these workforce housing units will be sold for $189,900.  The Carver County HRA has committed $395,000 to this project, and a tax increment financing contribution from the city of $225,000 will also benefit the development.  The Community Bank of Chaska has agreed to offer prospective buyers a free appraisal and a 25 percent reduction in closing costs.",Construction of 19 affordable twinhome housing units,East Creek Acres,N/A,Closed,," $	100,000.00 "," $	32,682.00 ",,Ravoux Circle - Chaska,Chaska,Carver,4,47B,11/10/04,,12/31/06,12/31/07,,,,12/27/04,,,,,,2004,04011232,01009,LHIA Historical Data,LHIA 
5821,243,09999,000,000,14216,SG1999-011,Chasewood Family Townhomes,City of Apple Valley,0000020921A1,Assist with construction of a 27-unit rental family townhome development of two- and three-bedroom units to serve large families. All of the units will be affordable to residents with incomes at or below 33% of median income.,"Construction of 27 rental townhome housing units, all affordable",,N/A,Closed,," $	180,000.00 "," $	180,000.00 ",,Garrett Ave and 155th St. - Apple Valley,Apple Valley,Dakota,16,57A,12/3/98,,,,,,,5/18/99,,,,,,1998,,01009,LHIA Historical Data,LHIA 
5821,243,09999,000,000,14271,SG2003-118,Lebanon Valley Place,City of Apple Valley,0000020921A1,"Gap financing to assist a 36-unit, 4-story elevator building at 153rd and Founders Lane. This funding request is to assist with closing a funding gap of $740,000 to facilitate new construction of a new 36-unit, 4-story elevator building a 153rd Street and Founders Lane in Apple Valley.The development willinclude units reserved for disabled individuals or individuals with mental illness, many of whom will be low-wage workers.  Other units will be affordable to other low wage, local workforce participants.  The housing, which will be developed at nearly 47 units per acre, will be built adjacent to a large mixed-use development being developed in downtown Apple Valley.  The City of Apple Valley is contributing $170,000 of CDBG funds and the Dakota County CDA is not only contributing $560,000 and tax credit issuance authority in excess of $2 million, but it will also provide nine units of Project Based Section 8 Rent Assistance (PBA) that will help residents with very low incomes afford to live in the development.  All 36 one-bedroom units will be affordable to very low income individuals ($16,110 annual income), with nine of the units using PBA to ensure affordability.",Construction of 36 affordable rental housing units,,N/A,Closed,," $	150,000.00 "," $	150,000.00 ",,153rd and Founders Lane - Apple Valley,Apple Valley,Dakota,16,57A,11/12/03,,12/31/05,,,,,2/23/04,,,,,,2003,,01009,LHIA Historical Data,LHIA 
5821,243,09999,000,000,14232,SG2000-034,"Discount Loan Home Improvement Program - Blaine, designated city to administer funds",City of Blaine,0000020925A2,"Complement a combined commitment of $250,000 from these cities to be allocated to a Discount Loan Home Improvement Program, used to write down by 2 percent the interest rate for borrowers with MHFA's Community Fix-Up Fund Program to make home improvements to 1940-60s ramblers and Cape Cod homes in the cities. The program will provide an innovative approach to addressing housing quality and affordability while enhancing community stabilization through this incentive for homeowners to improve and remain in their homes. Income of participating homeowners will not exceed 115% of median income in Columbia Heights, Fridley and St. Louis Park.  In Blaine and Coon Rapids this limit will be 80% of median income.",Rehabilitate an indeterminate number of single family ownership housing units,,N/A,Closed,," $	125,000.00 "," $	83,594.86 ",,"Various: Blaine, C. Rapids, Fridley, St. Louis Pk. - Blaine",Blaine,Anoka,10,37A,5/24/00,,12/31/02,,,,,6/21/00,,,,,,2000,,01009,LHIA Historical Data,LHIA 
5821,243,09999,000,000,14719,SG2009-086,Northgate Woods,City of Blaine,0000020925A2,"The project involves the acquisition, rehabilitation and preservation of a 75-unit development originally built in 1980, consisting of 45 townhome units and 30 elderly units in Blaine.  The development has a project-based Section 8 Housing Assistance Payment (HAP) contract for all of its units, and is at risk of converting to market rate housing.  Funding this project provides an opportunity to maintain and preserve a valuable suburban housing resource for the long term.  Units will remain affordable for 30 years. The entire project consists of 29 one-bedroom units, 29 two-bedroom units, 13 three-bedroom units, and 4 four-bedroom units.  All units will be affordable to households at 50% or less of area median income ($41,950 for a family of four). Four of those units will be set aside and marketed to households experiencing long-term homelessness.  Rents (including utilities) range from $820 to $1,089.  Local resources used to match the LHIA funds include $225,000 in Anoka County HOME funds and $295,000 in CDBG funds, as well as $20,000 from the Blaine EDA.  LHIA funds will be used for costs associated with acquisition or rehabilitation of the units.",Rehabilitation of 45 38 affordable rental townhome housing units and 30 affordable senior rental housing units,,N/A,Closed,2010-063," $	400,000.00 "," $	400,000.00 ",,1530 123rd Lane NE Blaine,Blaine,Anoka,10,37B,2/24/10,,12/31/11,,2/25/10,3/4/10,8/16/10,8/17/10,8/18/10,,,,,2009,10002469,01009,LHIA Historical Data,LHIA 
5821,243,09999,000,000,14218,SG1999-117,Lyndale Avenue Townhomes,City of Bloomington,0000026809A5,"These funds are for the new construction of 23 permanent rental, two-story townhouse units contained in 7 buildings on two scattered sites on Lyndale Avenue.  The project includes 6 Hollman units.  Seventy-four percent of the units will serve incomes at or below 50 percent of the area median income. The Hollman units will serve incomes at or below 30 percent of area median income.  The sites are approved by the city as residential redevelopment districts.",Construction of 23 rental townhome housing units,Lyndale Avenue Townhomes,N/A,Closed,," $	119,000.00 "," $	119,000.00 ",,S. Lyndale at 94th to 96th Sts. - Bloomington,Bloomington,Hennepin,5,50B,8/25/99,,6/30/00,,,,,1/5/00,,,,,,1999,,01009,LHIA Historical Data,LHIA 
5821,243,09999,000,000,14248,SG2001-134,Southview Estates,City of Bloomington,0000026809A5,"Support a new 47-unit, mixed-income apartment structure in close proximity to jobs and well served by transit. Southview Estates will consist of 6 one-bedroom units, 23 two-bedroom units and 18 three-bedroom units in an elevator building.  All of the one-bedroom units and 4 of the two-bedroom units will be rented at market rate rents.  The balance of the units will be affordable to households at or below 50 percent of area median income.  Ten of the units will be Project-based Section 8, serving households at 30 percent of area median income.","Construction of 47 rental housing units, 37 affordable",,N/A,Closed,," $	150,000.00 "," $	150,000.00 ",,8916 Lyndale Ave. South - Bloomington,Bloomington,Hennepin,5,50A,12/5/01,,12/31/03,,,,,3/5/02,,,,,,2001,,01009,LHIA Historical Data,LHIA 
5821,243,09999,000,000,14259,SG2002-150,Essex Knoll,City of Bloomington,0000026809A5,"Assist in the acquisition and clearance of property, and subsequent construction of eight three-bedroom homes in the Essex Knoll area.  The units will be sold to low-income households (those with an income less than 60 percent of the county median income limit).",Construction of 8 single-family affordable housing units,,N/A,Closed,," $	80,000.00 "," $	80,000.00 ",,Nicolett Ave at 102nd Street - Bloomington,Bloomington,Hennepin,5,50B,11/13/02,,12/31/03,,,,,3/31/03,,,,,,2002,,01009,LHIA Historical Data,LHIA 
5821,243,09999,000,000,14321,SG2006-158,Blooming Glen,City of Bloomington,0000026809A5,"Blooming Glen is a 50-unit family townhome development that has been meeting the needs of low-income families in Bloomington for 25 years with the benefit of a Section 8 contract.  The property will be acquired by a new tax credit limited partnership that will substantially rehabilitate the units and grounds, and agree to preserve the development as Section 8 housing for 30 years.  Rehabilitation work will include replacement of siding, windows, roofs, mechanicals, kitchens, baths, site work, reconfiguration of parking and potentially adding a community building that will house an on-site office and laundry facility.  The project consists of 28 two-bedroom, 18 three-bedroom and 4 four-bedroom units.  All of the units will be affordable to low- and moderate-income households, with 15 of the units set aside for households at 50% or less of area median income (AMI) and the remaining 35 units available to households with incomes up to 60% of area median income (AMI).  LHIA funds will be used to assist with rehabilitation of the units that will be affordable at 50% AMI.  Rents, plus utilities, range from $883-$1,138 for units at 50% AMI, and $1,097-$1,349 for those at 60% AMI, with households paying no more than 30 percent of their income.",Rehabilitate a 50-unit affordable rental housing townhomes,,N/A,Closed,," $	290,000.00 "," $	290,000.00 ",,"735 North Glen Drive, Bloomington, MN 55420",Bloomington,Hennepin,5,50B,12/13/06,,12/31/08,,,,,7/16/07,,,,,,2006,07005565,01009,LHIA Historical Data,LHIA 
5821,243,09999,000,000,14279,SG2004-112,Lyndale Green Redevelopment,City of Bloomington,0000026809A5,"The Bloomington HRA is seeking funding to provide affordability gap assistance for 14 townhome units in the 46 unit townhouse component of its Lyndale Green Redevelopment Project near the intersection of Lyndale Avenue South and 84th Street.  When completed the development will result in a new grocery store, containing a liquor store, pharmacy and bank, additional service retail, a 95-unit senior cooperative development and the 45 townhomes, a portion of which will be assisted with this grant.   The Council and MHFAs contribution of $100,000 each to this project will be matched by over $4.7 million in local investment from the City of Bloomington and its HRA. Ten of the townhomes recommended for LHIA funding will be affordable to households at 80% or less of area median income ($61,360 for a family of four), and four more will be affordable to households at no more than 115% of area median income ($88,205 for a family of four) in the redevelopment/reinvestment area of the city.  The townhomes to be built at a density of 10.7 units per acre will be near frequent regular route transit service on Lyndale Ave, and to all of the new retail services to be available in the adjacent development.","Construction of 14 rental townhome housing units, 10 affordable",,N/A,Closed,," $	100,000.00 "," $	100,000.00 ",,84th Street and Lyndale Ave South - Bloomington,Bloomington,Hennepin,5,50A,11/10/04,,12/31/06,,,,,12/27/04,,,,,,2004,,01009,LHIA Historical Data,LHIA 
