Account,Fund,Dept,PROGRAMClass,Class,ProjectNumber,Subgrant,ProjectName,Grantee,Vendor ID,DESCRIPTION,ProjectSummary,MasterProject,Theme,GrantStatus,BusinessItem,Grant Amount,Appropriation commited amount,Match amount,Address,City,County,CountilDistrict,Legislative District,DateAwarded,POSC,ExpirationDate,AmendedExpDate,ContractLegal,ContractSent,ContractReceived,ContractExecuted,ExecConstractSent,FederalFY,StateFY,ClaimDueDate,YearAvailReissue,YearFunded,PONumber,FO_ID,FundingOpportunity,ProgramArea
5821,241,09999,000,000,14467,SG2007-133,IMI Cornelius (fka Eniva),City of Anoka,0000020920A2,"The applicant is requesting $394,973 in TBRA funds for asbestos and lead-based paint abatement for the renovation and partial demolition of a vacant industrial facility formerly used for manufacturing beverage dispensers on a 26-acre site. Upon review, $339,073 of the costs were determined to be eligible. The expected benefits include the development of 230,000 sq. ft. of office space with a projected increase of $112,028 in net tax capacity and $13M of private investment.

Funds are to be used for asbestos and lead-based paint abatement. (Note, costs for removing ""universal wastes"" are not eligible for grant funding.)",Industrial,,N/A,Closed,2007-344," $	339,000.00 "," $	237,837.67 ",,"1 Cornelius Place, Anoka",Anoka,Anoka,9,35A,1/9/08,,12/31/09,,,,3/15/08,3/20/08,3/20/08,,,,,2007,08002476,01006,TBRA Cleanup Historical Data,TBRA Cleanup 
5821,241,09999,000,000,14174,SG2001-064,North Central Business District,City of Anoka,0000020920A2,"Clean a city-owned site in the heart of the historic downtown, east of city hall. The site is currently used for city parking and will be redeveloped into office and commercial space. Contamination on the site stems from a dry cleaner that occupied the site from 1962 to 1986.",,,N/A,Closed,," $	116,870.00 "," $	116,870.00 ",,NW corner Jackson St & 2nd Av. - Anoka,Anoka,Anoka,9,35A,6/27/01,,12/31/03,,,,,7/18/01,,,,,,2001,,01006,TBRA Cleanup Historical Data,TBRA Cleanup 
5821,241,09999,000,000,14426,SG2006-072,Gateway Center,City of Arden Hills,0000020922A2,"The Gateway Center project is located at 501 West Lawson Avenue (NE corner of I-35W and I-694) in Arden Hills. The building on the site first was used as a rendering plant, then to manufacture foam insulation and, most recently, by ATS Steel as a facility for cutting and grinding operations. Costs eligible for TBRA reimbursement include investigation, RAP preparation/oversight and cleanup costs related to soil and ground water contamination. Funding requests include $200,000 TBRA, $600,000 DEED and $50,000 from Ramsey County. The planned end use is a 23.5-acre campus including two 8-story office buildings (480,000 sq ft.). Total projected investment in the project is $76,500,000. An increase of $1.9 million in annual property taxes is expected, along with the creation of 400 new living-wage jobs.",Office,,N/A,Closed,2006-163," $	200,000.00 "," $	200,000.00 ",,501 West Lawson Avenue  in Arden Hills,Arden Hills,Ramsey,10,42A,6/28/06,,6/30/08,,,,,10/10/06,,,,,,2006,06008128,01006,TBRA Cleanup Historical Data,TBRA Cleanup 
5821,241,09999,000,000,14404,SG2005-054,Former Lee's Wrecking,City of Blaine,0000020925A2,"The city of Blaine seeks TBRA cleanup funding for the Former Lee?s Wrecking site located at 11808 Central Avenue NE.  Former use of the site for automobile wrecking has left a variety of contaminants including metals, petroleum hydrocarbons, asbestos-containing materials and various auto parts.  TBRA funds will be used as part of the match to a DEED grant request for soil and groundwater remediation.  This site is part of a larger redevelopment area planned to include medical offices, a large home improvement store and a grocery store.  
Eligible reimbursable costs include investigation, soil excavation and disposal, groundwater sampling and testing, well and septic monitoring and environmental consulting and reporting.  Total cleanup costs are about $ 977,670, which is about 10% of the redevelopment costs.",Retail and medical,Lee's Wrecking,N/A,Closed,," $	119,360.00 "," $	119,360.00 ",,11808 Central Avenue NE - Blaine,Blaine,Anoka,10,37B,6/29/05,,6/30/07,,,,,8/16/05,,,,,,2005,,01006,TBRA Cleanup Historical Data,TBRA Cleanup 
5821,241,09999,000,000,14427,SG2006-073,Medical Center (former Lee's Wrecking) - I,City of Blaine,0000020925A2,"The Medical Center (former Lee's Wrecking) project is located at 11808 Central Avenue South. Initial cleanup investigation and implementation at the site significantly underestimated the amount of contamination. The supplemental TBRA funding award ($62,400) is to be used for additional soil remediation. The planned end use is an 85,000 sq ft. medical center on a 7.65-acre site. A $13,000,000 investment is expected to result in 35 new jobs (90% living wage) and a $300,000 increase in annual property taxes.",Medical,Lee's Wrecking,N/A,Closed,2006-163," $	62,400.00 "," $	62,400.00 ",,11808 Central Avenue South in Blaine,Blaine,Anoka,10,37B,6/28/06,,6/30/08,,,,,11/3/06,,,,,,2006,,01006,TBRA Cleanup Historical Data,TBRA Cleanup 
5821,241,09999,000,000,14443,SG2006-173,Medical Center (former Lee's Wrecking) - II,City of Blaine,0000020925A2,"The applicant is requesting supplemental funding for additional soil remediation of a 7.65-acre site formerly used as automobile scrap yard. Contamination identified includes DRO, VOC, SVOC, PAH, cyanide, metals (antimony, arsenic, cadmium, copper iron, selenium and lead in soil; manganese and cyanide in groundwater). Completed remediation activities include removal of petroleum-impacted and partial removal of lead-impacted soil. Upon review, $158,594 of the costs for remediating additional lead-impacted soil, installation of soil vapor barriers and environmental oversight were deemed eligible. The amount awarded was based on the TBRA funds available in the grant round after other higher priority projects were funded. Funds are to be used for remediating 7,000 cubic yards of additional impacted soil, dewatering, installation of soil vapor barriers, and environmental oversight.  Expected benefits include the development of an 85,000 sq. ft. 3-story medical office building with an increase of $323,396 in net tax capacity and $8.6 million of private investment.",Medical,Lee's Wrecking,N/A,Closed,2006-322," $	64,000.00 "," $	64,000.00 ",,"11808 Central Ave. NE, Blaine,",Blaine,Anoka,10,37B,1/17/07,,12/31/08,,,,,3/15/07,,,,,,2006,,01006,TBRA Cleanup Historical Data,TBRA Cleanup 
5821,241,09999,000,000,14159,SG2000-058,9011 University Avenue,City of Blaine EDA,0000020925A2,"Assist the Blaine Economic Development Authority with abatement of asbestos in a blighted building that has been vacant for about three years.  The asbestos is contained in the wall and ceiling surfaces, kitchen flooring, mastic under carpets and floor tile, and other locations.  The asbestos will be removed and disposed of in accordance with MN Department of Health requirements.  The building will then be renovated as a DC Music USA retail store.",Redevelopment into retail,,N/A,Closed,," $	20,410.00 "," $	20,410.00 ",,9011 University Ave. NE - Blaine,Blaine,Anoka,10,37A,6/21/00,,,,,,,7/20/00,,,,,,2000,,01006,TBRA Cleanup Historical Data,TBRA Cleanup 
5821,241,09999,000,000,14968,SG2010-156,Gardenwood,City of Blaine EDA,0000020925A2,"The grantee requested $106,463 in TBRA funding and $614,212 from DEED for environmental investigation, soil remediation, ground water monitoring and well sealing on a 25-acre site formerly used as a sand and gravel mining area that was backfilled with fill from an unknown source which was later determined to be contaminated with polycyclic aromatic hydrocarbons (PAHs), metals and petroleum-related impacts.",Development of 25 housing units including seven affordable units.,,N/A,Closed,2011-19," $	250,000.00 "," $	250,000.00 ",,"NE quadrant Lexington & Gardenwood Parkway, Blaine",Blaine,Anoka,10,38A,1/26/11,,12/31/12,,2/8/11,2/25/11,3/10/11,3/11/11,3/11/11,,,,,2010,11002102,01006,TBRA Cleanup Historical Data,TBRA Cleanup 
5821,241,09999,000,000,14133,SG1998-138,Market Pointe,City of Bloomington,0000026809A5,"Clean landfill debris from the former France Avenue Dump which was adjacent to the Market Pointe property, and remove asbestos and hazardous materials in two buildings on the site.  Five businesses and surface parking are current uses for the site which, following clean up, will be redeveloped for substantially more attractive uses.  Ryan Companies Inc. intends to redevelop the site with three Class A office buildings (748,000 square feet) and a four-level parking ramp in a campus setting.",Office,,N/A,Closed,," $	788,128.00 "," $	788,128.00 ",,4350 - 4400 w. 78TH St. - Bloomington,Bloomington,Hennepin,5,49B,12/17/98,,,,,,,2/12/99,,,,,,1998,,01006,TBRA Cleanup Historical Data,TBRA Cleanup 
5821,241,09999,000,000,14170,SG2000-128,National Handicapped Housing Institute,City of Bloomington,0000026809A5,"Assist the Bloomington HRA with clean up of a site comprised of four properties where previous owners had cleaned the site sufficiently by 1995 to allow it to remain vacant. However, clean up of remaining contamination necessary to make the land suitable for redevelopment proved to be more costly than the city realized when it acquired the properties for redevelopment.  Once clean up is completed, the National Handicapped Housing Institute, Inc. plans to construct a 21-unit apartment building for physically disabled adults with very low incomes.",Multifamily housing,,N/A,Closed,," $	161,319.00 "," $	161,319.00 ",,95th Street between Garfield and Lyndale - Bloomington,Bloomington,Hennepin,5,50B,1/22/01,,12/31/02,,,,,2/20/01,,,,,,2000,,01006,TBRA Cleanup Historical Data,TBRA Cleanup 
